ugrhi,macro_land_use,measurement_points,ph,do,bod,tc,tn,tp,ts,turb,temp,wqi,classification
5,industrial,CPIV02900,7.9,1.3,26,1300000,9.66,1.21,302,99,20.0,19,very_bad
5,industrial,CPIV02900,7.0,0.5,4,230000,7.87,0.618,195,34,20.0,26,bad
5,industrial,CPIV02900,7.1,1.1,20,1300000,7.46,1.47,302,30,21.0,21,bad
5,industrial,CPIV02900,7.4,0.3,23,1300000,20.06,1.54,329,34,20.0,18,very_bad
5,industrial,CPIV02900,7.1,0.5,16,800000,17.06,1.49,312,38,20.0,19,very_bad
5,industrial,CPIV02900,7.2,2.2,22,30000,10.4,0.854,401,88,21.0,23,bad
5,industrial,CPIV02900,7.0,1.2,19,300000,21.35,0.998,426,32,21.0,22,bad
5,industrial,CPIV02900,7.3,1.7,10,14000,3.67,0.269,344,23,18.0,34,bad
5,industrial,CPIV02900,7.1,2.2,8,130000,4.78,1.0,372,27,20.0,30,bad
5,industrial,CPIV02900,7.3,1.2,5,7000,13.05,1.0,248,21,22.0,31,bad
5,industrial,CPIV02900,7.2,3.3,18,7000,4.5,0.8,335,29,20.0,35,bad
5,industrial,CPIV02900,6.7,1.7,13,140000,9.6,0.7,319,49,20.0,28,bad
5,industrial,CPIV02900,6.8,0.1,95,660000,6.11,2.0,1200,723,20.0,12,very_bad
5,industrial,CPIV02900,7.1,2.1,9,30000,16.1,0.8,255,16,18.0,31,bad
5,industrial,CPIV02900,7.4,1.0,13,310000,16.3,0.775,282,17,22.0,24,bad
5,industrial,CPIV02900,7.3,4.0,20,10000,12.23,1.09,201,14,22.0,34,bad
5,industrial,CPIV02900,7.1,0.4,29,5167,25.4,0.9,255,22,20.0,22,bad
5,industrial,CPIV02900,7.5,1.2,24,333333,31.08,3.0,404,12,20.9,18,very_bad
5,industrial,CPIV02900,7.3,6.3,7,41667,18.3,1.0,332,13,20.7,40,medium
5,industrial,CPIV02900,7.4,2.9,6,7000,16.9,1.0,302,9,22.0,37,medium
5,industrial,CPIV02900,7.4,2.9,6,7000,16.9,1.0,302,9,22.0,37,medium
5,industrial,CPIV02900,7.5,4.0,9,8667,14.5,0.9,310,16,21.0,39,medium
5,industrial,CPIV02900,7.7,1.34,10,15000,14.6,1.0,266,8,20.0,30,bad
5,industrial,CPIV02900,7.0,0.8,24,1700000,24.82,3.2,559,60,22.0,16,very_bad
5,industrial,CPIV02900,6.9,0.6,36,500000,7.37,2.02,1286,150,20.0,13,very_bad
5,industrial,CPIV02900,7.2,6.6,11,50000,3.15,0.728,490,200,16.0,32,bad
5,industrial,CPIV02900,7.2,1.4,13,30000,8.56,0.581,249,51,21.0,28,bad
5,industrial,CPIV02900,6.9,2.3,8,70000,6.87,0.701,260,110,20.0,33,bad
5,industrial,CPIV02900,7.2,2.6,16,1300000,7.62,0.742,352,68,22.2,26,bad
5,industrial,CPIV02900,7.2,1.1,14,17000,8.84,0.512,294,55,24.1,28,bad
